pinyin	phonemes
a	[ɑ]
ai	[aɪ̯]
ao	[ɑʊ̯]
an	[an]
ang	[ɑŋ]
e	[ɯ̯ʌ]
ei	[eɪ̯]
en	[ən]
eng	[əŋ]
er	[ɑɻ]
o	[ɔ]
ou	[ɤʊ̯]
yi	[i]
ya	[i̯ɑ]
yao	[i̯ɑʊ̯]
ye	[iɛ]
you	[i̯ɤʊ̯]
yan	[iɛn]
yang	[i̯ɑŋ]
yin	[in]
ying	[iŋ]
yong	ㄩㄥ
wu	[u]
wa	[u̯ɑ]
wai	[u̯aɪ̯]
wei	[u̯eɪ̯]
wo	[u̯ɔ]
wan	[u̯an]
wang	[u̯ɑŋ]
wen	[u̯ən]
weng	[u̯əŋ]
yu	[y]
yue	[y̯œ]
yuan	[y̯ɛn]
yun	[yn]
ba	[pɑ]
bai	[paɪ̯]
bao	[pɑʊ̯]
ban	[pan]
bang	[pɑŋ]
bei	[peɪ̯]
ben	[pən]
beng	[pəŋ]
bo	[pu̯ɔ]
bi	[pi]
biao	[pi̯ɑʊ̯]
bie	[piɛ]
bian	[piɛn]
bin	[pin]
bing	[piŋ]
bu	[pu]
pa	[pʰɑ]
pai	[pʰaɪ̯]
pao	[pʰɑʊ̯]
pan	[pʰan]
pang	[pʰɑŋ]
pei	[pʰeɪ̯]
pen	[pʰən]
peng	[pʰəŋ]
po	[pʰu̯ɔ]
pou	[pʰɤʊ̯]
pi	[pʰi]
piao	[pʰi̯ɑʊ̯]
pie	[pʰiɛ]
pian	[pʰiɛn]
pin	[pʰin]
ping	[pʰiŋ]
pu	[pʰu]
ma	[mɑ]
mai	[maɪ̯]
mao	[mɑʊ̯]
man	[man]
mang	[mɑŋ]
me	[mɯ̯ʌ]
mei	[meɪ̯]
men	[mən]
meng	[məŋ]
mo	[mu̯ɔ]
mou	[mɤʊ̯]
mi	[mi]
miao	[mi̯ɑʊ̯]
mie	[miɛ]
miu	[mi̯ɤʊ̯]
mian	[miɛn]
min	[min]
ming	[miŋ]
mu	[mu]
fa	[fɑ]
fan	[fan]
fang	[fɑŋ]
fei	[feɪ̯]
fen	[fən]
feng	[fəŋ]
fo	[fu̯ɔ]
fou	[fɤʊ̯]
fu	[fu]
da	[tɑ]
dai	[taɪ̯]
dao	[tɑʊ̯]
dan	[tan]
dang	[tɑŋ]
de	[tɯ̯ʌ]
dei	[teɪ̯]
den	[tən]
deng	[təŋ]
dou	[tɤʊ̯]
dong	[tʊŋ]
di	[ti]
diao	[ti̯ɑʊ̯]
die	[tiɛ]
diu	[ti̯ɤʊ̯]
dian	[tiɛn]
ding	[tiŋ]
du	[tu]
dui	[tu̯eɪ̯]
duo	[tu̯ɔ]
duan	[tu̯an]
dun	[tu̯ən]
ta	[tʰɑ]
tai	[tʰaɪ̯]
